Sr No,Graduate Certificate,Course Name,Course Code,Start Date,End Date,Duration (Days),Room,Teacher,Run
26,Intelligent Financial Risk Management,Advanced Machine Learning for Financial Services,IFR-01,16-Aug-27,19-Aug-27,4,Horizon,AK,Run 1
27,Intelligent Financial Risk Management,Explainable & Responsible AI for Finance,IFR-02,30-Aug-27,1-Sep-27,3,Nexus,KL,Run 1
28,Intelligent Financial Risk Management,Credit Risk Modelling and Analytics,IFR-03,13-Sep-27,16-Sep-27,4,Catalyst,DC,Run 1
29,Intelligent Financial Risk Management,Alternative Data for Fintech Innovation,IFR-04,27-Sep-27,29-Sep-27,3,Visionary,ET,Run 1
30,Architecting AI Systems,Explainable and Responsible Artificial Intelligence,AAS-01,11-Oct-27,13-Oct-27,3,Integration,CK,Run 1
31,Architecting AI Systems,AI and Cybersecurity,AAS-02,25-Oct-27,27-Oct-27,3,Integrity,SP,Run 1
32,Architecting AI Systems,Architecting Agentic AI Solutions,AAS-03,8-Nov-27,11-Nov-27,4,Frontier,AC,Run 1
33,Architecting AI Systems,Deploying and Operating AI Solutions,AAS-04,22-Nov-27,24-Nov-27,3,Blue Ocean,SW,Run 1
34,Intelligent Reasoning Systems,Reasoning Systems,IRS-01,6-Dec-27,10-Dec-27,5,Board Room,AK,Run 2
35,Intelligent Reasoning Systems,Cognitive Systems,IRS-02,20-Dec-27,22-Dec-27,3,Innovation,KL,Run 2
36,Intelligent Reasoning Systems,Machine Reasoning,IRS-03,3-Jan-28,6-Jan-28,4,Horizon,DC,Run 2
37,Pattern Recognition Systems,Intelligent Sensing and Sense Making,PRS-01,17-Jan-28,20-Jan-28,4,Nexus,ET,Run 2
38,Pattern Recognition Systems,Pattern Recognition and Machine Learning Systems,PRS-02,31-Jan-28,4-Feb-28,5,Catalyst,CK,Run 2
39,Pattern Recognition Systems,Problem Solving using Pattern Recognition,PRS-03,14-Feb-28,18-Feb-28,5,Visionary,SP,Run 2
40,Intelligent Robotic Systems,Robotic Systems,IROb-01,28-Feb-28,3-Mar-28,5,Integration,AC,Run 2
41,Intelligent Robotic Systems,Autonomous Robots and Vehicles,IROb-02,13-Mar-28,17-Mar-28,5,Integrity,SW,Run 2
42,Intelligent Robotic Systems,Human-Robot System Engineering,IROb-03,27-Mar-28,30-Mar-28,4,Frontier,AK,Run 2
43,Intelligent Sensing Systems,Vision Systems,ISS-01,10-Apr-28,14-Apr-28,5,Blue Ocean,KL,Run 2
44,Intelligent Sensing Systems,Spatial Reasoning from Sensor Data,ISS-02,24-Apr-28,26-Apr-28,3,Board Room,DC,Run 2
45,Intelligent Sensing Systems,Real Time Audio-Visual Sensing and Sense Making,ISS-03,8-May-28,11-May-28,4,Innovation,ET,Run 2
46,Practical Language Processing,Text Processing using Machine Learning,PLP-01,22-May-28,25-May-28,4,Horizon,CK,Run 2
47,Practical Language Processing,New Media and Sentiment Mining,PLP-02,5-Jun-28,7-Jun-28,3,Nexus,SP,Run 2
48,Practical Language Processing,Conversational UIs,PLP-03,19-Jun-28,22-Jun-28,4,Catalyst,AC,Run 2
