Sr No,Graduate Certificate,Course Name,Course Code,Start Date,End Date,Duration (Days),Room,Teacher,Run
20,Intelligent Financial Risk Management,Advanced Machine Learning for Financial Services,IFR-01,23-Aug-27,26-Aug-27,4,Board Room,CK,Run 1
21,Pattern Recognition Systems,Pattern Recognition and Machine Learning Systems,PRS-02,30-Aug-27,3-Sep-27,5,Nexus,AC,Run 1
22,Intelligent Financial Risk Management,Advanced Machine Learning for Financial Services,IFR-01,13-Sep-27,16-Sep-27,4,Frontier,DC,Run 2
23,Intelligent Robotic Systems,Autonomous Robots and Vehicles,IROb-02,20-Sep-27,24-Sep-27,5,Integration,SW,Run 2
24,Architecting AI Systems,Deploying and Operating AI Solutions,AAS-04,11-Oct-27,13-Oct-27,3,Integration,DC,Run 1
25,Intelligent Reasoning Systems,Reasoning Systems,IRS-01,4-Jan-27,6-Jan-27,5,Blue Ocean,KL,Run 2
26,Intelligent Sensing Systems,Vision Systems,ISS-01,18-Jan-27,20-Jan-27,5,Nexus,SW,Run 1
27,Intelligent Robotic Systems,Human-Robot System Engineering,IROb-03,1-Feb-27,4-Feb-27,4,Blue Ocean,KL,Run 2
28,Practical Language Processing,Conversational UIs,PLP-03,8-Feb-27,10-Feb-27,4,Visionary,SP,Run 2
29,Intelligent Financial Risk Management,Alternative Data for Fintech Innovation,IFR-04,15-Feb-27,17-Feb-27,3,Horizon,KL,Run 2
30,Intelligent Reasoning Systems,Cognitive Systems,IRS-02,1-Mar-27,3-Mar-27,3,Board Room,AC,Run 2
31,Pattern Recognition Systems,Intelligent Sensing and Sense Making,PRS-01,27-Dec-27,30-Dec-27,4,Catalyst,ET,Run 1
32,Intelligent Sensing Systems,Vision Systems,ISS-01,10-Jan-28,14-Jan-28,5,Integration,DC,Run 2
33,Intelligent Sensing Systems,Spatial Reasoning from Sensor Data,ISS-02,17-Jan-28,19-Jan-28,3,Frontier,KL,Run 1
34,Practical Language Processing,Text Processing using Machine Learning,PLP-01,24-Jan-28,27-Jan-28,4,Board Room,CK,Run 2
35,Intelligent Financial Risk Management,Explainable & Responsible AI for Finance,IFR-02,31-Jan-28,2-Feb-28,3,Nexus,SW,Run 1
36,Intelligent Reasoning Systems,Machine Reasoning,IRS-03,7-Feb-28,10-Feb-28,4,Horizon,DC,Run 1
37,Practical Language Processing,Text Analytics,PLP-04,21-Feb-28,23-Feb-28,3,Board Room,DC,Run 1
38,Pattern Recognition Systems,Problem Solving using Pattern Recognition,PRS-03,28-Feb-28,3-Mar-28,5,Horizon,AK,Run 2
39,Architecting AI Systems,Explainable and Responsible Artificial Intelligence,AAS-01,19-Apr-27,23-Apr-27,3,Blue Ocean,AK,Run 1
40,Intelligent Reasoning Systems,Machine Reasoning,IRS-03,3-May-27,6-May-27,4,Frontier,ET,Run 2
41,Practical Language Processing,Text Processing using Machine Learning,PLP-01,10-May-27,14-May-27,4,Integration,SP,Run 1
42,Intelligent Financial Risk Management,Credit Risk Modelling and Analytics,IFR-03,17-May-27,19-May-27,4,Integration,DC,Run 1
43,Architecting AI Systems,AI and Cybersecurity,AAS-02,31-May-27,2-Jun-27,3,Blue Ocean,DC,Run 1
44,Intelligent Robotic Systems,Robotic Systems,IROb-01,24-Apr-28,28-Apr-28,5,Catalyst,AC,Run 2
45,Intelligent Robotic Systems,Human-Robot System Engineering,IROb-03,22-May-28,25-May-28,4,Frontier,SW,Run 1
46,Practical Language Processing,Conversational UIs,PLP-03,29-May-28,1-Jun-28,4,Nexus,SP,Run 1
47,Intelligent Reasoning Systems,Reasoning Systems,IRS-01,5-Jun-28,9-Jun-28,5,Horizon,DC,Run 1
48,Pattern Recognition Systems,Problem Solving using Pattern Recognition,PRS-03,12-Jun-28,16-Jun-28,5,Catalyst,AK,Run 1
